id,supplier,supplierid,contact,phone,status,currency,netsum,tax,totalsum
1000000000,Astro Electric,A-0000001,Alidia Dymick,503-515-8447,New,EUR,136836,4105,140941
1000000001,Appy's Assembly,A-0000006,Cesya Cutforth,484-229-4678,New,CNY,457130,13714,470844
1000000002,Meta Manufacturing,A-0000007,Kari Baskwell,634-636-5817,In Progress,PLN,67709,2031,69740
1000000003,Meta Manufacturing,A-0000007,Emmett Reen,905-484-1885,Cancelled,CNY,75743,2272,78015
1000000004,Appy's Assembly,A-0000006,Billy Wadelin,393-927-7650,Cancelled,BYR,265129,7954,273083
1000000005,Codey Engineering,A-0000002,Grace Geratt,599-926-8392,New,CAD,283374,8501,291875
1000000006,Max's Industries,A-0000004,Murvyn Braun,771-313-3580,New,HRK,332426,9973,342399
1000000007,Meta Manufacturing,A-0000007,Bear Wittleton,944-246-2536,New,PHP,106317,3190,109507
1000000008,Cloudy Supplies,A-0000003,Gideon Braisher,756-970-7197,New,EUR,325018,9751,334769
1000000009,Max's Industries,A-0000004,Roanne Bartoszinski,175-815-6114,Delivery,CNY,461674,13850,475524
1000000010,Max's Industries,A-0000004,Harriette Betteney,802-245-8298,Delivery,RUB,114822,3445,118267
1000000011,Cloudy Supplies,A-0000003,Latisha La Grange,595-237-6735,In Progress,BRL,316891,9507,326398
1000000012,Codey Engineering,A-0000002,Culver Havenhand,700-828-9098,Complete,PHP,337167,10115,347282
1000000013,Astro Electric,A-0000001,Reamonn Reppaport,707-943-2820,Cancelled,NZD,485518,14566,500084
1000000014,Meta Manufacturing,A-0000007,Ashlen Cammocke,369-143-6277,Cancelled,MRO,24840,745,25585
1000000015,Max's Industries,A-0000004,Lucy Piffe,955-896-1971,New,IQD,243884,7317,251201
1000000016,Appy's Assembly,A-0000006,Alasteir Joule,654-826-5095,Cancelled,RUB,83694,2511,86205
1000000017,Appy's Assembly,A-0000006,Latrina Laurenzi,145-629-1716,In Progress,ARS,265194,7956,273150
1000000018,Cloudy Supplies,A-0000003,Elsa Benedikt,772-724-8472,New,EUR,402561,12077,414638
1000000019,Max's Industries,A-0000004,Cherri Pitchford,728-673-1764,Delivery,CNY,184743,5542,190285
1000000020,Codey Engineering,A-0000002,Annamaria Guard,845-337-2918,Cancelled,PEN,271256,8138,279394
1000000021,Einstein Labs,A-0000005,Ichabod Diggell,877-674-8472,In Progress,IDR,258342,7750,266092
1000000022,Einstein Labs,A-0000005,Morris Fiorentino,645-672-9597,Complete,PYG,106635,3199,109834
1000000023,Max's Industries,A-0000004,Margaret Mettricke,639-328-4104,Complete,PHP,60614,1818,62432
1000000024,Einstein Labs,A-0000005,Steve Rose,535-634-0496,In Progress,PHP,338179,10145,348324
1000000025,Cloudy Supplies,A-0000003,Scarlett Carlyle,591-893-9420,Complete,IDR,272191,8166,280357
1000000026,Astro Electric,A-0000001,Skipton Di Bartolomeo,880-253-6083,Complete,PLN,379254,11378,390632
1000000027,Cloudy Supplies,A-0000003,Rosa Gorhardt,459-410-4050,New,SEK,322106,9663,331769
1000000028,Einstein Labs,A-0000005,Dyann Willingale,906-647-3621,Delivery,EUR,269516,8085,277601
1000000029,Codey Engineering,A-0000002,Buddy Gorstidge,817-283-9363,New,RUB,150796,4524,155320
1000000030,Astro Electric,A-0000001,Eunice De Haven,481-938-3509,New,EUR,104264,3128,107392
1000000031,Appy's Assembly,A-0000006,Carver Zaple,276-164-8294,Cancelled,CNY,173754,5213,178967
1000000032,Codey Engineering,A-0000002,Lynelle Shadrack,488-773-7793,Complete,YER,50648,1519,52167
1000000033,Meta Manufacturing,A-0000007,Peadar Cunah,678-805-8693,Delivery,EUR,444644,13339,457983
1000000034,Einstein Labs,A-0000005,Elisabetta Primmer,419-691-0959,In Progress,THB,184638,5539,190177
